year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
land,1235.3,1216.7,1263,1305.2,1339.8,1371.4,1415.2,1452.4,1503.1,1559.7,1575.1,1585.6,1624.5,1637.2,1673.7,1683.1,1679.8,1680.8,1603.1,1558.4,1556.9
air,181.2,170.3,165.8,168.2,171.9,175.4,182.1,185.8,183.7,198.1,204.4,192.5,181,183.1,186.4,198.6,173.5,172.6,158.6,142.9,143.9
water,45.1,40,55,47.7,48.3,58.6,54.4,39.8,33.7,29.8,61,42.7,47.6,37.3,40.1,45.2,48.4,55.2,37.1,34,43.3
rail,39,36.8,37.7,38.8,41.9,43.7,44.7,45.3,45.8,47.7,48.1,48.6,48.2,49.5,52.3,53,55.1,54.4,50.7,43.4,46.3
other,47.9,43.6,43.1,45.2,49.1,49.6,50,52.8,47.1,47.7,47.3,45.5,47.3,42.7,41.4,42.5,42.3,44.5,45.2,45.2,48.4
